BookID,Chapter,TotalVerses,WordCountKjv,ReadingTimeInSecondsKjvScourby
20,2,22,309,117
20,3,35,541,186
20,4,27,418,151
20,5,23,354,135
20,6,35,546,205
20,7,27,411,142
20,8,36,562,215
20,9,18,288,114
20,10,32,527,199
20,11,31,524,203
20,12,28,476,175
20,13,25,400,157
20,14,35,572,210
20,15,33,544,192
20,16,33,543,194
20,17,28,476,188
20,18,24,381,154
20,19,29,506,196
20,20,30,498,194
20,21,31,501,199
20,22,29,495,177
20,23,35,566,209
20,24,34,580,214
20,25,28,522,199
20,26,28,459,171
20,27,27,460,182
20,28,28,528,197
20,29,27,425,170
20,30,33,640,236
20,31,31,467,179
21,1,18,380,141
21,2,26,734,269
21,3,22,517,189
21,4,16,380,145
21,5,20,533,182
21,6,12,301,102
21,7,29,617,220
21,8,17,515,165
21,9,18,555,198
21,10,20,402,169
21,11,10,273,94
21,12,14,372,148
22,1,17,326,116
22,2,17,351,121
22,3,11,287,92
22,4,16,363,134
22,5,16,397,139
22,6,13,282,100
22,7,13,292,97
22,8,14,360,124
23,1,31,758,275
23,2,22,567,174
23,3,26,587,216
23,4,6,209,68
23,5,30,863,295
23,6,13,366,142
23,7,25,693,218
23,8,22,558,190
23,9,21,599,196
23,10,34,928,313
23,11,16,519,175
23,12,6,134,52
23,13,22,576,191
23,14,32,856,304
23,15,9,266,101
23,16,14,415,159
23,17,14,428,147
23,18,7,255,88
23,19,25,730,240
23,20,6,169,66
23,21,17,417,147
23,22,25,676,219
23,23,18,469,171
23,24,23,592,207
23,25,12,381,137
23,26,21,550,200
23,27,13,405,136
23,28,29,814,275
23,29,24,742,254
23,30,33,1059,360
23,31,9,322,112
23,32,20,436,166
23,33,24,585,228
23,34,17,522,170
23,35,10,277,102
23,36,22,690,224
23,37,38,1131,379
23,38,22,592,195
23,39,8,268,81
23,40,31,796,287
23,41,29,804,298
23,42,25,676,252
23,43,28,711,248
23,44,28,886,331
23,45,25,774,279
23,46,13,342,131
23,47,15,471,182
23,48,22,627,205
23,49,26,867,283
23,50,11,365,120
23,51,23,771,252
23,52,15,405,149
23,53,12,387,137
23,54,17,493,169
23,55,13,399,134
23,56,12,361,125
23,57,21,569,207
23,58,14,521,179
23,59,21,590,215
23,60,22,665,234
23,61,11,380,140
23,62,12,362,125
23,63,19,538,184
23,64,12,308,119
23,65,25,753,259
23,66,24,811,265
24,1,19,528,168
24,2,37,1019,366
24,3,25,802,284
24,4,31,861,314
24,5,31,874,315
24,6,30,827,300
24,7,34,970,318
24,8,22,706,247
24,9,26,772,262
24,10,25,674,218
24,11,23,749,231
24,12,17,544,188
24,13,27,739,257
24,14,22,688,251
24,15,21,702,225
24,16,21,699,215
24,17,27,829,264
24,18,23,659,212
24,19,15,541,181
24,20,18,594,190
24,21,14,498,157
24,22,30,837,294
24,23,40,1186,398
24,24,10,361,107
24,25,38,1138,361
24,26,24,800,238
24,27,22,762,228
24,28,17,540,171
24,29,32,1005,313
24,30,24,717,245
24,31,40,1294,435
24,32,44,1432,428
24,33,26,842,268
24,34,22,824,249
24,35,19,657,200
24,36,32,1110,320
24,37,21,611,194
24,38,28,984,288
24,39,18,545,167
24,40,16,681,198
24,41,18,664,184
24,42,22,774,206
24,43,13,460,127
24,44,30,1228,353
24,45,5,152,52
24,46,28,821,258
24,47,7,215,73
24,48,47,1172,398
24,49,39,1180,379
24,50,46,1460,488
24,51,64,1853,618
24,52,34,1074,312
25,1,22,758,290
25,2,22,883,299
25,3,66,876,301
25,4,22,598,209
25,5,22,296,122
26,1,28,870,256
26,2,10,273,93
26,3,27,809,246
26,4,17,519,166
26,5,17,628,208
26,6,14,470,156
26,7,27,768,268
26,8,18,655,208
26,9,11,400,126
26,10,22,659,201
26,11,25,721,213
26,12,28,799,252
26,13,23,738,243
26,14,23,746,228
26,15,8,205,63
26,16,63,1820,616
26,17,24,773,242
26,18,32,919,320
26,19,14,356,121
26,20,49,1601,503
26,21,32,945,320
26,22,31,840,278
26,23,49,1322,447
26,24,27,774,255
26,25,17,507,160
26,26,21,727,221
26,27,36,907,313
26,28,26,809,264
26,29,21,714,212
26,30,26,760,219
26,31,18,680,198
26,32,32,1077,317
26,33,33,1071,338
26,34,31,958,298
26,35,15,402,121
26,36,38,1180,362
26,37,28,870,271
26,38,23,776,228
26,39,29,928,279
26,40,49,1530,427
26,41,26,802,222
26,42,20,568,161
26,43,27,907,254
26,44,31,1031,299
